路线,车次,出发站,到达站,出发时间,到达时间,历时,二等座价格,一等座价格,商务座价格,硬座价格,硬卧价格,软卧价格,无座价格,二等座余票,一等座余票,商务座余票,抓取时间
上海 -> 贵阳,G1321,上海虹桥,贵阳北,06:10,15:21,9小时11分,¥775.5,¥1233,¥2308.5,无,无,无,无,仅99张 仅5张 仅4张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G1371,上海虹桥,贵阳北,07:22,16:25,9小时3分,¥734.5,¥1233,¥2308.5,无,无,无,无,仅99张 仅99张 仅10张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,K833,上海松江,贵阳,07:26,10:16+1,26小时50分,无,无,无,¥224,¥381,¥598,¥224,仅99张 仅99张 仅14张 仅99张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G2189,上海虹桥,贵阳东,07:29,16:40,9小时11分,¥731.5,¥1227.5,¥2298,无,无,无,无,仅99张 仅2张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G1337,上海虹桥,贵阳东,08:21,17:30,9小时9分,¥772.5,¥1227.5,无,无,无,无,无,仅99张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G1373,上海虹桥,贵安,08:53,17:35,8小时42分,¥799,¥1317.5,¥2512.5,无,无,无,无,仅99张 仅99张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G1377,上海虹桥,贵阳北,09:30,18:48,9小时18分,¥789.5,¥1302,¥2483.5,无,无,无,无,仅4张 仅1张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G2193,上海虹桥,贵阳东,10:46,19:43,8小时57分,¥786.5,¥1296.5,¥2473,无,无,无,无,仅99张 仅5张 仅1张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G1375,上海虹桥,贵阳北,11:11,20:38,9小时27分,¥748.5,¥1256,¥2352.5,无,无,无,无,仅99张 仅5张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G1615,上海虹桥,贵阳北,11:25,20:53,9小时28分,¥685.5,¥1174,¥2331.5,无,无,无,无,仅99张 仅11张 仅2张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G1333,上海虹桥,贵阳东,11:44,20:42,8小时58分,¥786.5,¥1296.5,¥2473,无,无,无,无,仅99张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G1329,上海虹桥,贵阳北,13:38,22:24,8小时46分,¥707.5,¥1209,¥2352.5,无,无,无,无,仅99张 仅13张 仅4张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,G2173,上海南,贵阳北,14:08,22:31,8小时23分,¥788.5,¥1300,¥2480.5,无,无,无,无,仅99张 仅5张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,K111,上海松江,贵阳,15:08,17:21+1,26小时13分,无,无,无,¥224,¥381,¥598,¥224,仅99张 仅99张 仅15张 仅99张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,K79,上海南,贵阳,18:24,21:47+1,27小时23分,无,无,无,¥229,¥389,¥613,¥229,仅99张 仅99张 仅4张 仅99张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,K495,上海松江,贵阳,18:40,22:19+1,27小时39分,无,无,无,¥224,¥381,¥598,¥224,仅99张 仅99张 仅10张 仅99张,无,无,2025-06-02 12:09:09
上海 -> 贵阳,K739,上海南,贵阳,19:59,22:50+1,26小时51分,无,无,无,¥229,¥389,¥613,¥229,仅99张 仅99张 仅1张 仅99张,无,无,2025-06-02 12:09:09
