美食名称,地点,人均消费,点评数,列表页评分,详情页评分
黔人百味·贵州菜,黄果树新城迎宾大道北段108号(距票务中心200米),￥46,162条,暂无评分,4.9
新大新豆米火锅(南国花锦店),中华中路130号南国花锦购物中心7楼,￥85,53条,暂无评分,4.6
树厨贵州菜(大十字店),中华南路8号诺富特酒店旁,￥52,170条,暂无评分,4.6
丝恋丝娃娃(鸿通城店),遵义社区服务中心解放路100号(沙冲路口)鸿通城购物中心4层,￥53,243条,暂无评分,4.8
柒食·贵州小炒(花果园店),花果园大街1号花果园购物中心3层,￥58,74条,暂无评分,4.4
老江最黔线(昆明路店),昆明路航天罗庄门口（皇室假期酒店对面）,￥69,21条,暂无评分,4.3
丝恋丝娃娃(花果园店),花果园街道花果园大街1号花果园购物中心美食城一楼(医院对面),￥54,233条,暂无评分,4.8
小雅木姜子烤鸡·贵阳菜(亨特国际店),西湖路街道西湖社区文昌南路33号亨特城市广场三楼306号商铺,￥77,36条,暂无评分,4.6
亮欢寨快活林酸汤鱼酸汤牛肉火锅店(甲秀楼店),曹状元街6号(邮电大楼后街)(邮电大楼后街，贝斯特动物医院西隔一家门店),￥88,73条,暂无评分,4.5
黔渔翁豆花渎鱼(喷水池店),大同街5号（近虹祥大厦停车场）,￥65,39条,暂无评分,4
毛辣果虾酸牛肉火锅(甲秀楼店),护国路180号二层,￥66,9条,暂无评分,4
怪噜范·老贵阳街头名小吃(云上方舟店),数博大道长岭北路云上方舟3楼2号（地铁C出口步行100米）,￥45,15条,暂无评分,4.4
黔大叔大牌档(甲秀楼店),富水南路186号泰祥国际负2楼,￥63,20条,暂无评分,4
禾锄归·聊·食堂,东引路东引村,￥82,5条,暂无评分,5
外婆家传菜(老城店),子尹路24号,￥71,14条,暂无评分,4.5
苗园食府,古街也东寨斜对面,￥62,12条,暂无评分,5
胡阿姨骟鸡豆腐(梦想城总店),阳关大道北大资源梦想城梦想美食街明星时代影城门口50米,￥46,9条,暂无评分,4.6
丝恋丝娃娃(百盛店),老城街道法院街口百盛商场3楼（星巴克楼上）,￥53,62条,暂无评分,4.6
丝恋丝娃娃(凯里店),北京西路21号国贸购物中心5楼,￥49,7条,暂无评分,4.8
瑶山印象·本地特色菜,梦柳布依风情小镇16栋3号,￥60,6条,暂无评分,5
柒食贵阳味(亨特店),文昌南路亨特国际广场3楼(西湖社区),￥66,4条,暂无评分,5
包整·贵州小吃研究中心(观山湖店),金麦社区林城东路悦然时光负一楼,￥58,4条,暂无评分,0/5分
全有福烙锅店小院,向阳南路幸福巷7号（林业局旁100米）,￥73,4条,暂无评分,0/5分
草堂茶居,西江镇营盘东路博物馆右侧50米处,￥96,122条,暂无评分,4.1
苗湘食府(暂时没有分店),古街卫生院旁边20米,￥62,12条,暂无评分,4.4
百年滋味·安顺丝娃娃(虹山湖店),武当路张聚食府隔壁,￥71,6条,暂无评分,3
老凯里酸汤鱼(富水路店),文昌阁街道富水北路贵山城市花园66号(北京华联超市旁),￥114,(暂无点评),暂无评分,0/5分
美食美客·地道贵州菜,黄果树镇迎宾大道安置小区4栋16-17号（黄c果树售票大厅汽车站),￥58,29条,暂无评分,4
恒府1993(文昌北路店),文昌北路179号,￥67,55条,暂无评分,4.6
快活林 酸汤鱼(仁怀店),国酒南路385号国贸购物中心F6层,￥83,(暂无点评),暂无评分,0/5分
健硕酒店铜锅鱼庄,贵州省安顺市关岭布依族苗族自治县320国道旁健硕酒店一楼(国家湿地公园旁),￥54,2条,暂无评分,5
佬凯里酸汤鱼(桐梓一店),荣德山庄东南50米（老北街),￥56,1条,暂无评分,5
小肥头丝娃娃(老城店),民主路红花岗社区门口(近民主路),￥41,3条,暂无评分,5
苗家特色土烙锅·老字号,达姆路与那达路交叉口北行100米下官寨中心幼儿园左侧66米,￥56,8条,暂无评分,5
哒骨哒骨筒骨酸辣烫(亨特店),文昌南路亨特城市广场3楼扶梯旁,￥51,1条,暂无评分,5
丝恋红汤丝娃娃(国贸广场臻品店),中华北路1号国贸广场7楼,￥61,2条,暂无评分,0/5分
小瑞厨房·番茄鸡(世纪金源店),世纪金源购物中心B座4楼,￥64,3条,暂无评分,0/5分
贵阳青岩文凡花间堂·状元别院·餐厅,青岩镇北街87号文凡状元别院内(北门侧入口),￥169,16条,暂无评分,5
丝恋红汤丝娃娃(金阳国贸店),北京西路金阳国贸商场二楼,￥58,141条,暂无评分,4.5
望山宾馆活鸡活鱼农家菜(梵净山店),X508天福大酒店北行150米路西（梵街美食一条街）,￥74,2条,暂无评分,4.5
山仓粮(观景台店),886县道西江千户苗寨景区观景台,￥81,1条,暂无评分,0/5分
侗家食府(北京路店),头桥街道北京路278号2楼(北京西路加油站旁),￥64,153条,暂无评分,4
四合院(黔灵西路店),黔灵西路34号(近合群路),￥73,240条,暂无评分,4.4
落香河岸酒家,顺城街313号,￥35,186条,暂无评分,5
老凯里酸汤鱼(宅吉店),盐务街23号,￥114,3条,暂无评分,4.3
老凯里酸汤鱼(鸿通城店),鸿通城购物中心4楼,￥119,70条,暂无评分,4.7
金必轩(青岩店),北明清街57号,￥46,59条,暂无评分,4.1
丝恋丝娃娃(星力城店),万里路星力城C馆2楼,￥49,55条,暂无评分,5
亮欢寨酸汤鱼(沙冲路店),沙冲南路158号三五厂宿舍区,￥107,48条,暂无评分,4.3
老凯里酸汤鱼(夜郎国店),北大资源梦想城3号地公交车站旁,￥122,9条,暂无评分,5
阿杜炒蟹(龙虾，烧烤，海鲜青云路店),青云路青云市集广场G栋1楼5号,￥146,53条,暂无评分,4
柒食贵阳味·贵州家常菜(南国花锦店),中华中路130号南国花锦购物中心7层,￥58,40条,暂无评分,4.3
丁姨妈贵州臭豆腐烙锅(甲秀楼店),正谊路21号,￥53,48条,暂无评分,5
老凯里酸汤鱼(醉苗乡店),飞山街中段73号凯发大厦1-3层,￥115,9条,暂无评分,4.8
老凯里酸汤鱼(中天会展城店),会展城A区会展北路三号展厅正对面（近中天会展城）,￥133,24条,暂无评分,4.1
赛维利亚中西餐厅(金阳店),美的·林城时代第A-25.26栋、E1.2栋、(E1、E2)1层6号,￥70,3条,暂无评分,5
珍探音乐餐厅,贵州省遵义市红花岗区杨柳街1935号大楼3楼,￥57,12条,暂无评分,0/5分
树厨贵州菜(小河万科店),小河长江路与珠江路交叉口万科大都会4楼,￥75,67条,暂无评分,4.8
金必轩(油榨北巷店),油榨北巷50号,￥47,4条,暂无评分,2.5
织金县传统特色土烙锅店,官寨乡官寨村香樟组12号(中心幼儿园下行20米),￥47,2条,暂无评分,5
树厨贵州菜(花果园购物中心店),花果园大街1号花果园购物中心3层（松花路地铁站A口）,￥75,8条,暂无评分,3.5
小慧·食语(宝山南路店),贵州省贵阳市南明区宝山南路143号（城市雕塑院隔壁）,￥81,8条,暂无评分,4.5
树厨贵州菜(世纪金源店),北京西路世纪金源购物中心c座4楼,￥74,2条,暂无评分,5
857烙锅(福州街店),宾阳街道观山湖世纪城福州街176号,￥54,3条,暂无评分,0/5分
丝恋红汤丝娃娃(中山西路店),贵阳市南明区轨道交通地铁1号线中山西路站负一楼唐人街内,￥45,4条,暂无评分,4
风味盗汗鸡,航龙村航龙路星际家园奎宿42号,￥73,6条,暂无评分,4
拾伍贰拾卤烙锅,贵惠路187号,￥58,1条,暂无评分,4
一烙锅(盐务街店),盐务街5号,￥62,7条,暂无评分,4
青岩西街食府(青岩店),西明清街西街村四组36A号（近西门停车场）,￥35,8条,暂无评分,4
苗家土酒馆(江口店),民俗街交通局旁（近迴龙寺桥头下河边）,￥86,26条,暂无评分,5
忆苗香酸汤牛肉火锅(银座店),中山东路32号银座商务大厦1层负18号,￥53,1条,暂无评分,0/5分
大中小寻味生活餐厅(山林路店),山林路37号（延安西路地铁站E口步行370米）,￥84,1条,暂无评分,5
小雅贵阳家常菜(世纪金源店),宾阳街道贵阳世纪城金源购物中心B区四楼B-4-019号,￥73,(暂无点评),暂无评分,0/5分
阿杜炒蟹(龙虾，烧烤，海鲜万里路店),万里路127号遵义星力城A馆F3,￥108,53条,暂无评分,5
丝恋丝娃娃(海纳广场店),黄河路42号海纳广场一层21号,￥46,96条,暂无评分,4.8
